"FishIDX","FishID","SwimID","ExpMethodID","CommonName","ScientificName"
1,"1FSH","1SWM","1EXP","Twaite shad","Alosa fallax"
2,"2FSH","2SWM","2EXP","American shad","Alosa sapidissima"
3,"3FSH","3SWM","3EXP","American shad","Alosa sapidissima"
4,"4FSH","4SWM","4EXP","American shad","Alosa sapidissima"
5,"5FSH","5SWM","5EXP","American shad","Alosa sapidissima"
6,"6FSH","6SWM","6EXP","Stone loach","Barbatula barbatula"
7,"7FSH","7SWM","7EXP","Central stoneroller","Campostoma anomalum"
8,"8FSH","8SWM","8EXP","Goldfish","Carassius auratus"
9,"9FSH","9SWM","9EXP","Goldfish","Carassius auratus"
10,"10FSH","10SWM","10EXP","Goldfish","Carassius auratus"
11,"11FSH","11SWM","11EXP","Longnose sucker","Catostomus catostomus"
12,"12FSH","12SWM","12EXP","Longnose sucker","Catostomus catostomus"
13,"13FSH","13SWM","13EXP","Longnose sucker","Catostomus catostomus"
14,"14FSH","14SWM","14EXP","White sucker","Catostomus commersoni"
15,"15FSH","15SWM","15EXP","White sucker","Catostomus commersoni"
16,"16FSH","16SWM","16EXP","Sacramento sucker","Catostomus occidentalis"
17,"17FSH","17SWM","17EXP","Cisco","Coregonus artedi"
18,"18FSH","18SWM","18EXP","Cisco","Coregonus artedi"
19,"19FSH","19SWM","19EXP","Lake whitefish","Coregonus clupeaformis"
20,"20FSH","20SWM","20EXP","Lake whitefish","Coregonus clupeaformis"
21,"21FSH","21SWM","21EXP","Lake whitefish","Coregonus clupeaformis"
22,"22FSH","22SWM","22EXP","Lake whitefish","Coregonus clupeaformis"
23,"23FSH","23SWM","23EXP","Lake whitefish","Coregonus clupeaformis"
24,"24FSH","24SWM","24EXP","Lake whitefish","Coregonus clupeaformis"
25,"25FSH","25SWM","25EXP","Lake whitefish","Coregonus clupeaformis"
26,"26FSH","26SWM","26EXP","Lake whitefish","Coregonus clupeaformis"
27,"27FSH","27SWM","27EXP","Lake whitefish","Coregonus clupeaformis"
28,"28FSH","28SWM","28EXP","Lake whitefish","Coregonus clupeaformis"
29,"29FSH","29SWM","29EXP","Lake whitefish","Coregonus clupeaformis"
30,"30FSH","30SWM","30EXP","Lake whitefish","Coregonus clupeaformis"
31,"31FSH","31SWM","31EXP","Lake whitefish","Coregonus clupeaformis"
