"FishID","FishVarID","LengthCentrTendMetric","LengthValue","LengthUnits","LengthType","BD/TLRatio","TL/SLRatio","TL/FLRatio"
"1FSH","1FVR","mean",29.7,"cm","FL",0.23,1.19,1.12
"2FSH","2FVR","mean",NA,"in","NR",0.25,1.19,1.13
"3FSH","3FVR","mean",NA,"in","NR",0.25,1.19,1.13
"4FSH","4FVR","mean",NA,"in","NR",0.25,1.19,1.13
"5FSH","5FVR","mean",NA,"in","NR",0.25,1.19,1.13
"6FSH","6FVR","mean",11,"cm","TL",0.13,1.15,1
"7FSH","7FVR","mean",6.2,"cm","TL",0.22,1.1,1.02
"8FSH","8FVR","mean",NA,"cm","TL",0.28,1.23,1.07
"9FSH","9FVR","mean",NA,"cm","NR",0.28,1.23,1.07
"10FSH","10FVR","mean",NA,"cm","NR",0.28,1.23,1.07
"11FSH","11FVR","mean",NA,"cm","NR",0.14,1.15,1.05
"12FSH","12FVR","mean",NA,"cm","FL",0.14,1.15,1.05
"13FSH","13FVR","mean",NA,"cm","FL",0.14,1.15,1.05
"14FSH","14FVR","mean",NA,"cm","FL",0.17,1.16,1.05
"15FSH","15FVR","mean",NA,"cm","FL",0.17,1.16,1.05
"16FSH","16FVR","mean",20,"cm","TL",0.18,1.16,1.06
"17FSH","17FVR","mean",13.5,"cm","TL",0.17,1.12,1.06
"18FSH","18FVR","mean",13.5,"cm","TL",0.17,1.12,1.06
"19FSH","19FVR","mean",NA,"cm","NR",0.21,1.17,1.09
"20FSH","20FVR","mean",NA,"cm","FL",0.21,1.17,1.09
"21FSH","21FVR","mean",NA,"cm","FL",0.21,1.17,1.09
"22FSH","22FVR","mean",34.2,"cm","TL",0.21,1.17,1.09
"23FSH","23FVR","mean",34.2,"cm","TL",0.21,1.17,1.09
"24FSH","24FVR","mean",34.2,"cm","TL",0.21,1.17,1.09
"25FSH","25FVR","mean",34.2,"cm","TL",0.21,1.17,1.09
"26FSH","26FVR","mean",34.2,"cm","TL",0.21,1.17,1.09
"27FSH","27FVR","mean",34.2,"cm","TL",0.21,1.17,1.09
"28FSH","28FVR","mean",34.2,"cm","TL",0.21,1.17,1.09
"29FSH","29FVR","mean",34.2,"cm","TL",0.21,1.17,1.09
"30FSH","30FVR","mean",34.2,"cm","TL",0.21,1.17,1.09
"31FSH","31FVR","mean",12.7,"cm","TL",0.21,1.17,1.09
"32FSH","32FVR","mean",12.7,"cm","TL",0.21,1.17,1.09
"33FSH","33FVR","mean",12.7,"cm","TL",0.21,1.17,1.09
"34FSH","34FVR","mean",12.7,"cm","TL",0.21,1.17,1.09
"35FSH","35FVR","mean",NA,"cm","FL",0.23,1.16,1.09
"36FSH","36FVR","mean",NA,"cm","FL",0.23,1.16,1.09
"37FSH","37FVR","mean",15.3,"cm","SL",0.33,1.18,1.08
