"SwimID","SwimExID","WaterTempID","SwimVarID","EqID","SwimMode","SwimCentrTendMetric","SwimSpeed","SwimUnits","SwimTime","TimeUnits","Leap(Y/N)"
"1SWM","1EXH","1WTP","1SVR","1EQ","Prolonged","mean",75,"cm/s",1800,"s","Y"
"2SWM","2EXH","2WTP","2SVR","2EQ","Burst","mean",193,"cm/s",10,"s","Y"
"3SWM","3EXH","3WTP","3SVR","3EQ","Burst","mean",65.5,"cm/s",10,"s","Y"
"4SWM","4EXH","4WTP","4SVR","4EQ","Prolonged","mean",152.5,"cm/s",1800,"s","Y"
"5SWM","5EXH","5WTP","5SVR","5EQ","Prolonged","mean",46,"cm/s",1800,"s","Y"
"6SWM","6EXH","6WTP","6SVR","6EQ","Prolonged","mean",60.8,"cm/s",180,"s",NA
"7SWM","7EXH","7WTP","7SVR","7EQ","Prolonged","mean",39.9,"cm/s",120,"s",NA
"8SWM","8EXH","8WTP","8SVR","8EQ","Burst","mean",NA,"cm/s",20,"s","Y"
"9SWM","9EXH","9WTP","9SVR","9EQ","Burst","mean",137,"cm/s",10,"s","Y"
"10SWM","10EXH","10WTP","10SVR","10EQ","Prolonged","mean",53,"cm/s",1800,"s","Y"
"11SWM","11EXH","11WTP","11SVR","11EQ","Burst","mean",182,"cm/s",10,"s",NA
"12SWM","12EXH","12WTP","12SVR","12EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
"13SWM","13EXH","13WTP","13SVR","13EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
"14SWM","14EXH","14WTP","14SVR","14EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
"15SWM","15EXH","15WTP","15SVR","15EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
"16SWM","16EXH","16WTP","16SVR","16EQ","Prolonged","mean",48.7,"cm/s",1800,"s",NA
"17SWM","17EXH","17WTP","17SVR","17EQ","Prolonged","mean",63,"cm/s",438,"s",NA
"18SWM","18EXH","18WTP","18SVR","18EQ","Prolonged","mean",45.8,"cm/s",900,"s",NA
"19SWM","19EXH","19WTP","19SVR","19EQ","Burst","mean",107,"cm/s",10,"s",NA
"20SWM","20EXH","20WTP","20SVR","20EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
"21SWM","21EXH","21WTP","21SVR","21EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
"22SWM","22EXH","22WTP","22SVR","22EQ","Prolonged","mean",63,"cm/s",900,"s",NA
"23SWM","23EXH","23WTP","23SVR","23EQ","Prolonged","mean",75,"cm/s",900,"s",NA
"24SWM","24EXH","24WTP","24SVR","24EQ","Prolonged","mean",55,"cm/s",2358,"s",NA
"25SWM","25EXH","25WTP","25SVR","25EQ","Prolonged","mean",63,"cm/s",852,"s",NA
"26SWM","26EXH","26WTP","26SVR","26EQ","Prolonged","mean",75,"cm/s",312,"s",NA
"27SWM","27EXH","27WTP","27SVR","27EQ","Prolonged","mean",68,"cm/s",1998,"s",NA
"28SWM","28EXH","28WTP","28SVR","28EQ","Prolonged","mean",75,"cm/s",1200,"s",NA
"29SWM","29EXH","29WTP","29SVR","29EQ","Prolonged","mean",90,"cm/s",252,"s",NA
"30SWM","30EXH","30WTP","30SVR","30EQ","Prolonged","mean",102,"cm/s",96,"s",NA
"31SWM","31EXH","31WTP","31SVR","31EQ","Prolonged","mean",59,"cm/s",1278,"s",NA
"32SWM","32EXH","32WTP","32SVR","32EQ","Prolonged","mean",63,"cm/s",522,"s",NA
"33SWM","33EXH","33WTP","33SVR","33EQ","Prolonged","mean",69,"cm/s",270,"s",NA
"34SWM","34EXH","34WTP","34SVR","34EQ","Prolonged","mean",74,"cm/s",72,"s",NA
"35SWM","35EXH","35WTP","35SVR","35EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
"36SWM","36EXH","36WTP","36SVR","36EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
"37SWM","37EXH","37WTP","37SVR","37EQ","Burst","mean",150,"cm/s",10,"s","Y"
"38SWM","38EXH","38WTP","38SVR","38EQ","Burst","mean",274,"cm/s",10,"s","Y"
"39SWM","39EXH","39WTP","39SVR","39EQ","Prolonged","mean",90,"cm/s",500,"s","Y"
"40SWM","40EXH","40WTP","40SVR","40EQ","Prolonged","mean",70,"cm/s",3600,"s","Y"
"41SWM","41EXH","41WTP","41SVR","41EQ","Prolonged","mean",84,"cm/s",1800,"s","Y"
"42SWM","42EXH","42WTP","42SVR","42EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
"43SWM","43EXH","43WTP","43SVR","43EQ","Prolonged","mean",NA,"cm/s",600,"s",NA
