"WaterTempID","WaterTempLow","WaterTempHigh","TempUnits"
"1WTP",NA,NA,"C"
"2WTP",NA,NA,"C"
"3WTP",NA,NA,"C"
"4WTP",NA,NA,"C"
"5WTP",NA,NA,"C"
"6WTP",18,18,"C"
"7WTP",NA,NA,"C"
"8WTP",12,18,"C"
"9WTP",25,25,"C"
"10WTP",15,15,"C"
"11WTP",NA,NA,"C"
"12WTP",12,19,"C"
"13WTP",12,19,"C"
"14WTP",12,19,"C"
"15WTP",12,19,"C"
"16WTP",10,20,"C"
"17WTP",12,12,"C"
"18WTP",12,12,"C"
"19WTP",NA,NA,"C"
"20WTP",7,19,"C"
"21WTP",7,19,"C"
"22WTP",5,5,"C"
"23WTP",12,12,"C"
"24WTP",5,5,"C"
"25WTP",5,5,"C"
"26WTP",5,5,"C"
"27WTP",12,12,"C"
"28WTP",12,12,"C"
"29WTP",12,12,"C"
"30WTP",12,12,"C"
"31WTP",12,12,"C"
"32WTP",12,12,"C"
"33WTP",12,12,"C"
"34WTP",12,12,"C"
"35WTP",12,13,"C"
"36WTP",12,13,"C"
"37WTP",15,15,"C"
"38WTP",NA,NA,"C"
"39WTP",15,15,"C"
"40WTP",15,15,"C"
"41WTP",NA,NA,"C"
"42WTP",12,12,"C"
"43WTP",12,12,"C"
"44WTP",NA,NA,"C"
"45WTP",NA,NA,"C"
"46WTP",NA,NA,"C"
"47WTP",18,18,"C"
"48WTP",14,14,"C"
"49WTP",20,20,"C"
"50WTP",26,26,"C"
"51WTP",20,20,"C"
"52WTP",26,26,"C"
"53WTP",14,14,"C"
"54WTP",20,20,"C"
"55WTP",26,26,"C"
"56WTP",14,14,"C"
"57WTP",20,20,"C"
"58WTP",26,26,"C"
"59WTP",18,18,"C"
"60WTP",17,17,"C"
"61WTP",NA,NA,"C"
"62WTP",17.9,17.9,"C"
"63WTP",6,6,"C"
"64WTP",15,15,"C"
"65WTP",8.5,8.5,"C"
"66WTP",8.5,8.5,"C"
"67WTP",6,6,"C"
"68WTP",10,10,"C"
"69WTP",20,20,"C"
"70WTP",20,20,"C"
"71WTP",17.9,20.1,"C"
"72WTP",17.9,20.1,"C"
"73WTP",17.9,20.1,"C"
"74WTP",17.9,20.1,"C"
"75WTP",18,18,"C"
"76WTP",NA,NA,"C"
"77WTP",NA,NA,"C"
"78WTP",14,14,"C"
"79WTP",NA,NA,"C"
"80WTP",7,20,"C"
"81WTP",7,20,"C"
"82WTP",15,20,"C"
"83WTP",25,25,"C"
"84WTP",25,25,"C"
"85WTP",25,25,"C"
"86WTP",25,25,"C"
"87WTP",10,10,"C"
"88WTP",15,15,"C"
"89WTP",20,20,"C"
"90WTP",25,25,"C"
"91WTP",30,30,"C"
"92WTP",34,34,"C"
"93WTP",NA,NA,"C"
"94WTP",NA,NA,"C"
"95WTP",NA,NA,"C"
"96WTP",NA,NA,"C"
"97WTP",22,22,"C"
"98WTP",NA,NA,"C"
"99WTP",NA,NA,"C"
"100WTP",NA,NA,"C"
"101WTP",10,20,"C"
"102WTP",NA,NA,"C"
"103WTP",17.9,20.1,"C"
"104WTP",17.9,20.1,"C"
"105WTP",17.9,20.1,"C"
"106WTP",17.9,20.1,"C"
"107WTP",NA,NA,"C"
"108WTP",NA,NA,"C"
"109WTP",10,19,"C"
"110WTP",10,19,"C"
"111WTP",10,19,"C"
"112WTP",NA,NA,"C"
"113WTP",19,21,"C"
"114WTP",10.5,12.1,"C"
"115WTP",10,10,"C"
"116WTP",7,7,"C"
"117WTP",4,4,"C"
"118WTP",NA,NA,"C"
"119WTP",10,10,"C"
"120WTP",NA,NA,"C"
"121WTP",10,10,"C"
"122WTP",7,7,"C"
"123WTP",4,4,"C"
"124WTP",10,19,"C"
"125WTP",18.8,19.2,"C"
"126WTP",NA,NA,"C"
"127WTP",8,12,"C"
"128WTP",13,15,"C"
"129WTP",18,20,"C"
"130WTP",7.6,8.2,"C"
"131WTP",10,10,"C"
"132WTP",7,7,"C"
"133WTP",NA,NA,"C"
"134WTP",12,12,"C"
"135WTP",7,10,"C"
"136WTP",5.5,8,"C"
"137WTP",17,17,"C"
"138WTP",11.9,11.9,"C"
"139WTP",22.6,22.6,"C"
"140WTP",7,19,"C"
"141WTP",7,19,"C"
"142WTP",NA,NA,"C"
"143WTP",NA,NA,"C"
"144WTP",12,13,"C"
"145WTP",12,13,"C"
"146WTP",10,19,"C"
"147WTP",NA,NA,"C"
"148WTP",10,15,"C"
"149WTP",15,15,"C"
"150WTP",18,18,"C"
"151WTP",13,13,"C"
"152WTP",15.9,15.9,"C"
"153WTP",12.2,12.2,"C"
"154WTP",10,10,"C"
"155WTP",2,2,"C"
"156WTP",5,5,"C"
